date,year,month,average_tas_c
1998-09-18,1998,Sep,-26.05724954044115
1998-10-18,1998,Oct,-22.28243174833409
1998-11-16,1998,Nov,-18.595130112591903
1998-12-17,1998,Dec,-13.829974006203997
1999-01-16,1999,Jan,-5.8348155302159626
1999-02-16,1999,Feb,-0.4149819766773817
1999-03-18,1999,Mar,-0.12313196518840641
1999-04-18,1999,Apr,-0.1714990952435187
1999-05-19,1999,May,-3.6758534150964692
1999-06-18,1999,Jun,-9.484707462086362
1999-07-19,1999,Jul,-10.943794160730704
1999-08-18,1999,Aug,-5.304275333180101
1999-09-18,1999,Sep,-18.747811530618094
1999-10-18,1999,Oct,-16.542008882410357
1999-11-16,1999,Nov,-19.926761941348786
1999-12-17,1999,Dec,-12.790064912683818
2000-01-16,2000,Jan,-5.647133501838198
2000-02-16,2000,Feb,-0.4037443273207373
2000-03-17,2000,Mar,1.135899083754623
2000-04-17,2000,Apr,1.1071084415211772
2000-05-18,2000,May,0.26528428021600803
2000-06-17,2000,Jun,-1.3093003216911256
2000-07-18,2000,Jul,-7.515547449448491
2000-08-17,2000,Aug,-8.21062406652112
2000-09-17,2000,Sep,-10.212657973345586
2000-10-17,2000,Oct,-14.321064668543158
2000-11-15,2000,Nov,-16.508707383099704
2000-12-16,2000,Dec,-12.884661506203997
2001-01-15,2001,Jan,-3.0966552734374773
2001-02-15,2001,Feb,-0.7632719152113623
2001-03-17,2001,Mar,0.841261919806982
2001-04-17,2001,Apr,-0.014789895450348922
2001-05-18,2001,May,-0.6310909495633723
2001-06-17,2001,Jun,-8.37274421243103
2001-07-18,2001,Jul,-9.555667293772956
2001-08-17,2001,Aug,-19.63599925321688
2001-09-17,2001,Sep,-22.38648663689105
2001-10-17,2001,Oct,-20.55524453555833
2001-11-15,2001,Nov,-15.464038624482953
2001-12-16,2001,Dec,-15.43953785615804
2002-01-15,2002,Jan,-3.1565878475413456
2002-02-15,2002,Feb,-1.3947682100183556
2002-03-17,2002,Mar,0.9958219640395214
2002-04-17,2002,Apr,0.44728249942556886
2002-05-18,2002,May,-1.2590403837315876
2002-06-17,2002,Jun,-8.514217960133237
2002-07-18,2002,Jul,-10.289669620289487
