date,average_tas_c
1848-10-01,-20.477431106567366
1848-11-01,-25.279168319702137
1848-12-01,-24.166250991821272
1849-01-01,-22.113736343383778
1849-02-01,-7.30410232543943
1849-03-01,-2.190658187866177
1849-04-01,-0.12556610107418464
1849-05-01,-3.8223266597015026e-4
1849-06-01,-2.2408153533935433
1849-07-01,-6.683974456787098
1849-08-01,-15.696845245361317
1849-09-01,-27.2863887786865
1849-10-01,-29.982803535461414
1849-11-01,-32.721750259399386
1849-12-01,-26.475193214416493
1850-01-01,-15.466097450256314
1850-02-01,-8.807806015014648
1850-03-01,-2.219203186035145
1850-04-01,0.2535202026367642
1850-05-01,-0.9332050323486101
1850-06-01,-3.4544883728027003
1850-07-01,-14.629138183593739
1850-08-01,-23.253579330444325
1850-09-01,-18.104478263854958
1850-10-01,-26.813017082214344
1850-11-01,-24.987016105651833
1850-12-01,-25.852567863464344
1851-01-01,-22.520224189758267
1851-02-01,-10.460137176513626
1851-03-01,-2.8975677490234375
1851-04-01,-0.10126037597655113
1851-05-01,-0.7938304901122706
1851-06-01,-4.719710922241177
1851-07-01,-16.895567703247025
1851-08-01,-14.144814491271973
1851-09-01,-16.638567161560047
1851-10-01,-29.02828292846678
1851-11-01,-27.860891532897938
1851-12-01,-26.741709709167452
1852-01-01,-13.808664703369118
1852-02-01,-6.727312088012695
1852-03-01,-1.3869895935058594
1852-04-01,0.43215675354008454
1852-05-01,-0.5818901062011719
1852-06-01,-4.128808593749966
1852-07-01,-13.107235717773392
1852-08-01,-19.593007469177223
1852-09-01,-26.35379829406736
1852-10-01,-23.486321258544905
1852-11-01,-24.705441856384255
1852-12-01,-25.724052810668923
1853-01-01,-18.489883804321266
1853-02-01,-9.9454521179199
1853-03-01,-1.7684562683105014
1853-04-01,-0.175108337402321
1853-05-01,-0.9851272583007358
1853-06-01,-1.9401771545410043
1853-07-01,-11.837168884277332
1853-08-01,-19.5003271102905
1853-09-01,-26.114501380920387
1853-10-01,-22.582966423034634
1853-11-01,-34.07458820343015
1853-12-01,-30.64648571014402
1854-01-01,-20.314968490600563
1854-02-01,-8.279443359374966
1854-03-01,-0.8804058074950945
1854-04-01,-0.2156974792480355
1854-05-01,-0.8027854919433253
1854-06-01,-6.465036773681618
1854-07-01,-13.994942665100098
1854-08-01,-24.357524108886707
1854-09-01,-30.00876655578611
1854-10-01,-34.51462898254391
1854-11-01,-24.30093860626218
1854-12-01,-25.071810531616194
1855-01-01,-17.303595542907686
1855-02-01,-9.148791122436478
1855-03-01,-1.4280368804931527
1855-04-01,-0.16379127502437996
1855-05-01,-0.6219791412353288
1855-06-01,-2.922883605956997
1855-07-01,-6.066788101196266
1855-08-01,-21.98317775726315
1855-09-01,-14.998738098144486
1855-10-01,-30.136293029785122
1855-11-01,-30.16490936279294
1855-12-01,-22.648774528503395
1856-01-01,-23.494613075256325
1856-02-01,-9.394707107543923
1856-03-01,-2.7056282043456577
1856-04-01,-0.6175952911376612
1856-05-01,-1.5737712860106967
1856-06-01,-4.314126968383789
1856-07-01,-7.415690994262661
1856-08-01,-23.1847681045532
1856-09-01,-29.71184673309324
1856-10-01,-24.458374595642056
1856-11-01,-26.691577911376925
1856-12-01,-28.90100669860837
1857-01-01,-19.61548557281492
1857-02-01,-10.25130691528318
1857-03-01,-2.007409286499012
1857-04-01,0.25802307128907387
1857-05-01,-1.4274990081786996
1857-06-01,-4.048942947387673
1857-07-01,-12.340470886230435
1857-08-01,-19.28533916473387
1857-09-01,-28.91633377075192
1857-10-01,-22.515428543090792
1857-11-01,-26.8012174606323
1857-12-01,-22.31230487823484
1858-01-01,-18.214420318603487
1858-02-01,-9.705970382690396
1858-03-01,-1.7119731903076172
1858-04-01,-0.807599639892544
1858-05-01,-1.135140228271439
1858-06-01,-3.3220027923583757
1858-07-01,-7.643552017211903
1858-08-01,-12.43150806427002
1858-09-01,-19.90864791870115
1858-10-01,-29.854074096679653
1858-11-01,-27.11987304687497
1858-12-01,-31.027696609497042
1859-01-01,-16.64108333587643
1859-02-01,-5.946841430664051
1859-03-01,-1.3609069824218523
1859-04-01,-0.21249275207514984
1859-05-01,-0.05493125915523933
1859-06-01,-4.321242523193348
1859-07-01,-15.63986415863036
1859-08-01,-19.772900581359835
1859-09-01,-27.9314691543579
1859-10-01,-31.61009387969969
1859-11-01,-29.058236694335903
1859-12-01,-31.492273330688448
1860-01-01,-14.229971694946244
1860-02-01,-9.001524734497025
1860-03-01,-1.7626213073730241
1860-04-01,-0.6045192718505632
1860-05-01,-0.6465621948241846
1860-06-01,-4.35740394592284
1860-07-01,-13.876890182495117
1860-08-01,-26.099877738952614
1860-09-01,-25.588057899475075
1860-10-01,-26.512843322753895
1860-11-01,-17.795344734191872
1860-12-01,-26.411700248718233
1861-01-01,-20.46553421020505
1861-02-01,-8.080920791625942
1861-03-01,-2.106311798095703
1861-04-01,0.02853317260746735
1861-05-01,-0.5140018463134766
1861-06-01,-2.65720405578611
1861-07-01,-9.16368713378904
1861-08-01,-22.839438247680647
1861-09-01,-22.67506675720213
1861-10-01,-27.555489158630337
1861-11-01,-34.295112991332985
1861-12-01,-28.65006580352781
1862-01-01,-22.145919227600075
1862-02-01,-10.52848510742183
1862-03-01,-1.0339763641356967
1862-04-01,0.3792346954346044
1862-05-01,-1.1098499298095703
1862-06-01,-4.147529602050781
1862-07-01,-9.227481460571255
1862-08-01,-22.94093875885008
1862-09-01,-27.243431472778298
1862-10-01,-17.213739585876453
1862-11-01,-32.40085906982421
1862-12-01,-27.431450462341274
1863-01-01,-18.755305671691872
1863-02-01,-6.489362335205044
1863-03-01,-2.2171081542968523
1863-04-01,0.3492622375488281
1863-05-01,-0.629180908203125
1863-06-01,-1.590635681152321
1863-07-01,-8.898793792724575
1863-08-01,-21.67451534271237
1863-09-01,-30.072684478759754
1863-10-01,-32.92936744689939
1863-11-01,-19.557692718505848
1863-12-01,-26.151254463195784
1864-01-01,-14.097909927368164
1864-02-01,-9.470526123046852
1864-03-01,-2.043775177001919
1864-04-01,-0.4209362030028956
1864-05-01,-1.1799503326415675
1864-06-01,-4.737804794311501
1864-07-01,-12.188155364990223
1864-08-01,-25.116419982910145
1864-09-01,-24.03026313781737
1864-10-01,-32.78492832183835
1864-11-01,-25.166885757446266
1864-12-01,-23.511676025390614
1865-01-01,-15.851936912536587
1865-02-01,-7.447465896606445
1865-03-01,-1.4016689300536882
1865-04-01,0.3490833282471044
1865-05-01,-0.9811656951903842
1865-06-01,-3.2728813171386264
1865-07-01,-12.442906188964798
1865-08-01,-18.50905818939208
1865-09-01,-26.95322284698483
1865-10-01,-18.224708175659146
1865-11-01,-15.286822700500466
1865-12-01,-13.352468109130825
1866-01-01,-14.978724098205532
1866-02-01,-4.912322998046875
1866-03-01,-2.6840988159179346
1866-04-01,-0.17929878234861008
1866-05-01,-0.29864845275875496
1866-06-01,-3.2445861816406136
1866-07-01,-10.06584777832029
1866-08-01,-21.127620124816872
1866-09-01,-22.615626525878895
1866-10-01,-24.537359046936018
1866-11-01,-18.972177696228016
1866-12-01,-21.544342231750477
1867-01-01,-18.994970703124977
1867-02-01,-7.263048553466774
1867-03-01,-1.9181892395019418
1867-04-01,0.3553649902344205
1867-05-01,1.062979888916061
1867-06-01,-2.037477111816372
1867-07-01,-5.696714401245117
1867-08-01,-20.775599288940413
1867-09-01,-24.484625244140602
1867-10-01,-31.40294380187987
1867-11-01,-28.773557281494107
1867-12-01,-31.347764396667458
1868-01-01,-15.699876213073708
1868-02-01,-8.769153594970703
1868-03-01,-1.6562355041503452
1868-04-01,-0.14457664489742683
1868-05-01,-0.247802734375
1868-06-01,-2.7790699005126953
1868-07-01,-11.815243148803688
1868-08-01,-15.381427383422817
1868-09-01,-23.700136566162087
1868-10-01,-21.52748794555663
1868-11-01,-24.04648952484129
1868-12-01,-13.417671012878372
1869-01-01,-17.836852264404286
1869-02-01,-9.020503997802734
1869-03-01,-1.36081275939938
1869-04-01,-0.20741233825680183
1869-05-01,-0.13126029968259445
1869-06-01,-2.3532081604003565
1869-07-01,-9.996195602416947
