date,year,month,average_tas_c
2058-09-28,2058,Sep,-12.813270838120388
2058-10-28,2058,Oct,-18.17034212000229
2058-11-26,2058,Nov,-25.3796000761144
2058-12-27,2058,Dec,-14.865432200712291
2059-01-26,2059,Jan,-4.597386259191126
2059-02-26,2059,Feb,-1.311735265395214
2059-03-28,2059,Mar,0.2627728630515094
2059-04-28,2059,Apr,0.4238363826976297
2059-05-29,2059,May,-3.9444335937499773
2059-06-28,2059,Jun,-13.176245835248153
2059-07-29,2059,Jul,-19.2227449304917
2059-08-28,2059,Aug,-8.857292624080856
2059-09-28,2059,Sep,-15.153838752297759
2059-10-28,2059,Oct,-22.919344554227905
2059-11-26,2059,Nov,-9.507897949218716
2059-12-27,2059,Dec,-11.610438447840068
2060-01-26,2060,Jan,-1.0625692928538228
2060-02-26,2060,Feb,-0.14832691865808556
2060-03-27,2060,Mar,1.1875886804917286
2060-04-27,2060,Apr,1.15738848517924
2060-05-28,2060,May,-1.8625398523666945
2060-06-27,2060,Jun,-6.868960391773896
2060-07-28,2060,Jul,-9.626066679113023
2060-08-27,2060,Aug,-9.628876450482494
2060-09-27,2060,Sep,-10.196874281939301
2060-10-27,2060,Oct,-18.218015064912663
2060-11-25,2060,Nov,-16.668359913545487
2060-12-26,2060,Dec,-11.678793873506436
2061-01-25,2061,Jan,-5.360580982881402
2061-02-25,2061,Feb,-0.7437535903032995
2061-03-27,2061,Mar,0.1473718979779619
2061-04-27,2061,Apr,-0.42099824793194784
2061-05-28,2061,May,-1.0788452148437386
2061-06-27,2061,Jun,-2.0325166590073422
2061-07-28,2061,Jul,-13.92358865176925
2061-08-27,2061,Aug,-14.529191140567548
2061-09-27,2061,Sep,-10.668769028607528
2061-10-27,2061,Oct,-18.065156106387832
2061-11-25,2061,Nov,-15.227780151367142
2061-12-26,2061,Dec,-3.709279497931959
2062-01-25,2062,Jan,-5.479211784811582
2062-02-25,2062,Feb,-0.3694106158088175
2062-03-27,2062,Mar,0.1034886977251972
2062-04-27,2062,Apr,0.875914809283131
2062-05-28,2062,May,-1.5543816061580742
2062-06-27,2062,Jun,-9.327305333754566
2062-07-28,2062,Jul,-15.245790548885566
2062-08-27,2062,Aug,-13.332645909926441
2062-09-27,2062,Sep,-18.910104908662674
2062-10-27,2062,Oct,-22.228379013959085
2062-11-25,2062,Nov,-16.83087499281936
2062-12-26,2062,Dec,-13.599514950022979
2063-01-25,2063,Jan,-7.943224738625872
2063-02-25,2063,Feb,-1.2856369916130461
2063-03-27,2063,Mar,-0.5151051240808329
2063-04-27,2063,Apr,-1.4705853630514412
2063-05-28,2063,May,-7.958057358685664
2063-06-27,2063,Jun,-10.71524155560661
2063-07-28,2063,Jul,-10.822430778952196
2063-08-27,2063,Aug,-19.977324182846957
2063-09-27,2063,Sep,-20.7221480425666
2063-10-27,2063,Oct,-34.397652839211844
2063-11-25,2063,Nov,-20.18720864688646
2063-12-26,2063,Dec,-17.008125574448513
2064-01-25,2064,Jan,-7.64977201573987
2064-02-25,2064,Feb,-1.590390553193913
2064-03-26,2064,Mar,-0.2550881778492453
2064-04-26,2064,Apr,-0.9839624741497914
2064-05-27,2064,May,-2.3661305147058442
2064-06-26,2064,Jun,-10.107448443244436
2064-07-27,2064,Jul,-20.205506986730228
2064-08-26,2064,Aug,-24.018087409524327
2064-09-26,2064,Sep,-17.362666410558347
2064-10-26,2064,Oct,-27.898094805549164
2064-11-24,2064,Nov,-25.72484525792737
2064-12-25,2064,Dec,-19.352583402745836
2065-01-24,2065,Jan,-5.6700841567095495
2065-02-24,2065,Feb,-0.25007001091449865
2065-03-26,2065,Mar,-0.09223381491267446
2065-04-26,2065,Apr,0.5767240636488964
2065-05-27,2065,May,-2.890694292853823
2065-06-26,2065,Jun,-9.19087811638326
2065-07-27,2065,Jul,-14.245880485983434
