date,year,month,average_tas_c
2024-02-10,2024,Feb,-0.1669275620404278
2024-03-11,2024,Mar,0.7087294634650902
2024-04-11,2024,Apr,1.1730590820312727
2024-05-12,2024,May,-0.6302465102251631
2024-06-11,2024,Jun,-0.8049668255973756
2024-07-12,2024,Jul,-6.36379322725179
2024-08-11,2024,Aug,-8.154676370059747
2024-09-11,2024,Sep,-14.545490040498578
2024-10-11,2024,Oct,-20.276515287511472
2024-11-09,2024,Nov,-17.353023753446678
2024-12-10,2024,Dec,-12.12351684570308
2025-01-09,2025,Jan,-5.22742991727938
2025-02-09,2025,Feb,-0.47980382582716175
2025-03-11,2025,Mar,0.5044835707720949
2025-04-11,2025,Apr,-0.04518037683823195
2025-05-12,2025,May,-2.145330451516543
2025-06-11,2025,Jun,-4.4799908806296
2025-07-12,2025,Jul,-8.49497608857996
2025-08-11,2025,Aug,-10.598852898092787
2025-09-11,2025,Sep,-22.847735236672776
2025-10-11,2025,Oct,-18.39508613137636
2025-11-09,2025,Nov,-21.570906515682424
2025-12-10,2025,Dec,-13.708637551700349
2026-01-09,2026,Jan,-5.2480989343979445
2026-02-09,2026,Feb,-0.5746449190027079
2026-03-11,2026,Mar,0.6666906020220722
2026-04-11,2026,Apr,0.08390754250922328
2026-05-12,2026,May,-1.487162152458609
2026-06-11,2026,Jun,-3.17193603515625
2026-07-12,2026,Jul,-9.995095645680124
2026-08-11,2026,Aug,-6.582841581456762
2026-09-11,2026,Sep,-11.944417437385084
2026-10-11,2026,Oct,-7.815306540096458
2026-11-09,2026,Nov,-17.131695018095115
2026-12-10,2026,Dec,-10.361378389246283
2027-01-09,2027,Jan,-5.628445614085479
2027-02-09,2027,Feb,-0.6728756175321564
2027-03-11,2027,Mar,0.6944867302390207
2027-04-11,2027,Apr,1.9602872960708169
2027-05-12,2027,May,0.6649166331571905
2027-06-11,2027,Jun,-2.7178348316865595
2027-07-12,2027,Jul,-8.00628877527572
2027-08-11,2027,Aug,-15.225024773092798
2027-09-11,2027,Sep,-12.477890553193902
2027-10-11,2027,Oct,-8.744775031594656
2027-11-09,2027,Nov,-14.456059534409462
2027-12-10,2027,Dec,-8.4821569106158
2028-01-09,2028,Jan,-1.5335144042968523
2028-02-09,2028,Feb,-0.4180132697609906
2028-03-10,2028,Mar,1.7297704360064472
2028-04-10,2028,Apr,2.0244381175322133
2028-05-11,2028,May,0.5660052131204338
2028-06-10,2028,Jun,-1.4327277688419144
2028-07-11,2028,Jul,-3.908393770105704
2028-08-10,2028,Aug,-7.761576214958609
2028-09-10,2028,Sep,-8.738036750344634
2028-10-10,2028,Oct,-20.5969091078814
2028-11-08,2028,Nov,-15.445213048598305
2028-12-09,2028,Dec,-10.267653521369482
2029-01-08,2029,Jan,-4.291003776999048
2029-02-08,2029,Feb,-0.35129645852481417
2029-03-10,2029,Mar,0.3037662281709572
2029-04-10,2029,Apr,0.22429845473345722
2029-05-11,2029,May,-0.7416424919576912
2029-06-10,2029,Jun,-1.2611690745633837
2029-07-11,2029,Jul,-7.372288961971492
2029-08-10,2029,Aug,-16.267342242072573
2029-09-10,2029,Sep,-21.2331395766314
2029-10-10,2029,Oct,-13.596464807846928
2029-11-08,2029,Nov,-18.389248118681053
2029-12-09,2029,Dec,-13.19662619198067
2030-01-08,2030,Jan,-3.7912568933823536
2030-02-08,2030,Feb,-0.9971317066865595
2030-03-10,2030,Mar,0.2667002958410194
2030-04-10,2030,Apr,0.4236522001378944
2030-05-11,2030,May,-0.9578652774586089
2030-06-10,2030,Jun,-5.632638011259189
2030-07-11,2030,Jul,-10.787851131663558
2030-08-10,2030,Aug,-10.459348072725163
2030-09-10,2030,Sep,-19.831414974437024
2030-10-10,2030,Oct,-15.393231380687041
2030-11-08,2030,Nov,-16.087960994944808
2030-12-09,2030,Dec,-11.040023265165416
2031-01-08,2031,Jan,-1.4863073012407995
2031-02-08,2031,Feb,0.11836404239431886
2031-03-10,2031,Mar,1.2610337201286939
2031-04-10,2031,Apr,1.4358265596277988
2031-05-11,2031,May,-0.14701035443471255
2031-06-10,2031,Jun,-3.2847150017233275
2031-07-11,2031,Jul,-6.752600815716903
2031-08-10,2031,Aug,-14.751479384478387
2031-09-10,2031,Sep,-10.981363812614859
2031-10-10,2031,Oct,-9.028927432789487
2031-11-08,2031,Nov,-15.7598564596737
2031-12-09,2031,Dec,-12.498860796760084
2032-01-08,2032,Jan,-3.0660267549402533
2032-02-08,2032,Feb,-0.3054098690257092
2032-03-09,2032,Mar,0.5136722340303663
2032-04-09,2032,Apr,0.08587718290442581
2032-05-10,2032,May,-0.5271699793198081
2032-06-09,2032,Jun,-0.5531727510339692
2032-07-10,2032,Jul,-4.836668126723339
2032-08-09,2032,Aug,-6.086600269990811
2032-09-09,2032,Sep,-12.388699699850633
2032-10-09,2032,Oct,-14.711218620749037
2032-11-07,2032,Nov,-17.478695140165428
2032-12-08,2032,Dec,-8.277695599724268
2033-01-07,2033,Jan,-4.086738496668204
2033-02-07,2033,Feb,-0.5079905790440762
2033-03-09,2033,Mar,1.2031978831572019
2033-04-09,2033,Apr,1.932292624080901
2033-05-10,2033,May,0.03354456284466778
2033-06-09,2033,Jun,-2.3237462660845267
2033-07-10,2033,Jul,-6.112375775505484
2033-08-09,2033,Aug,-11.106775620404392
2033-09-09,2033,Sep,-12.151278147977905
2033-10-09,2033,Oct,-18.809863460765143
2033-11-07,2033,Nov,-19.26854768640854
2033-12-08,2033,Dec,-12.99520191865804
2034-01-07,2034,Jan,-4.874956557329938
2034-02-07,2034,Feb,-0.3669749540441103
2034-03-09,2034,Mar,0.31667552274819855
2034-04-09,2034,Apr,0.8678495519301919
2034-05-10,2034,May,-0.32172313017002807
2034-06-09,2034,Jun,-5.1736410701975615
2034-07-10,2034,Jul,-10.24571964039518
2034-08-09,2034,Aug,-17.919832296932412
2034-09-09,2034,Sep,-15.204102998621295
2034-10-09,2034,Oct,-23.442798210592798
2034-11-07,2034,Nov,-16.12869926901425
2034-12-08,2034,Dec,-9.907573026769285
2035-01-07,2035,Jan,-3.4044193043428095
2035-02-07,2035,Feb,-0.23704115923709423
2035-03-09,2035,Mar,1.0877251120174947
2035-04-09,2035,Apr,1.237177590762883
2035-05-10,2035,May,-0.642761948529369
2035-06-09,2035,Jun,-1.2416884478400334
2035-07-10,2035,Jul,-8.639960793887838
2035-08-09,2035,Aug,-12.765865550321678
2035-09-09,2035,Sep,-19.606105131261472
2035-10-09,2035,Oct,-9.71944041532629
